Row,BL,bri,cortexTraj
R1,0,1,0
R2,0,0,0
R3,0,0,0
R4,0,0,0
R5,0,0,0
R6,0,0,0
R7,0,0,0
R8,0,0,0
R9,0,0,0
R10,0,0,0
R11,0,0,0
R12,0,0,0
R13,0,0,0
R14,0,0,1
R15,0,0,1
R16,0,0,0
R17,0,1,0
R18,0,0,0
R19,0,1,0
R20,0,0,0
R21,0,0,0
R22,0,0,0
R23,0,0,0
R24,0,0,0
R25,0,0,0
R26,0,0,0
R27,0,0,0
R28,0,0,0
R29,0,0,0
R30,0,0,0
R31,0,0,0
R32,0,0,0
R33,0,0,0
R34,0,0,0
R35,0,0,0
R36,0,0,0
R37,0,0,0
R38,0,0,0
R39,0,0,0
R40,0,0,0
R41,0,0,1
R42,0,0,0
R43,0,0,0
R44,0,0,0
R45,0,0,0
R46,0,1,0
R47,0,0,0
R48,0,0,0
R49,0,0,0
R50,0,0,1
R51,0,0,0
R52,0,0,0
R53,0,0,0
R54,0,0,0
R55,0,0,0
R56,0,1,1
R57,0,0,0
R58,0,0,0
R59,0,0,0
R60,0,0,0
R61,0,0,0
R62,0,0,0
R63,0,0,0
R64,0,0,0
R65,0,0,0
R66,0,0,0
R67,0,0,0
R68,0,0,0
R69,1,1,0
R70,0,0,0
R71,0,0,0
R72,0,0,0
R73,0,0,0
R74,0,0,0
R75,0,0,0
R76,0,0,0
R77,1,1,0
R78,0,1,0
R79,0,0,0
R80,0,1,0
R81,0,0,0
R82,0,0,0
R83,0,0,0
R84,0,0,0
R85,0,0,0
R86,0,0,0
R87,0,0,0
R88,0,0,0
R89,0,0,0
R90,0,0,0
R91,0,0,0
R92,0,0,0
R93,0,0,0
R94,0,0,0
R95,0,0,0
R96,1,0,0
R97,0,0,0
R98,0,0,0
R99,0,0,0
R100,0,0,0
R101,0,0,0
R102,0,0,0
R103,0,0,0
R104,0,0,0
R105,0,0,0
R106,0,0,0
R107,0,0,0
R108,0,0,0
R109,0,1,0
R110,0,0,0
R111,0,0,0
R112,0,0,0
R113,0,0,0
R114,0,0,0
R115,0,0,0
R116,0,0,0
R117,0,0,0
R118,0,0,0
R119,0,0,0
R120,0,0,0
R121,0,0,0
R122,0,0,0
R123,0,0,1
R124,0,0,0
R125,0,0,0
R126,0,0,0
R127,0,0,0
R128,0,0,0
R129,0,1,0
R130,0,0,0
R131,0,0,0
R132,0,0,0
R133,0,0,0
R134,0,0,0
R135,0,0,0
R136,0,0,0
R137,0,0,0
R138,0,0,0
R139,0,0,0
R140,0,0,0
R141,0,0,0
R142,0,0,0
R143,0,0,0
R144,0,0,0
R145,0,0,0
R146,0,0,0
R147,0,0,0
R148,0,0,0
R149,0,0,1
R150,0,0,0
R151,0,0,0
R152,0,0,0
R153,0,0,0
R154,0,0,0
R155,0,0,0
R156,1,1,0
R157,1,1,0
R158,0,0,0
R159,0,1,0
R160,1,1,0
R161,0,0,0
R162,0,0,0
R163,0,0,0
R164,0,1,0
R165,0,0,0
R166,0,1,0
R167,0,0,0
R168,0,0,0
R169,0,0,0
R170,0,0,0
R171,0,0,0
R172,0,0,0
R173,0,1,1
R174,0,0,0
R175,0,0,0
R176,0,0,0
R177,0,0,0
R178,0,0,0
R179,0,0,0
R180,0,0,0
R181,0,0,0
R182,0,0,0
R183,0,0,0
R184,0,0,0
R185,0,0,0
R186,0,0,0
R187,0,0,0
R188,0,0,0
R189,0,0,0
R190,0,0,0
R191,0,0,0
R192,0,0,0
R193,1,1,0
R194,0,0,0
R195,0,0,0
R196,0,0,0
R197,0,0,1
R198,0,0,0
R199,0,0,0
R200,0,0,0
R201,0,0,0
R202,0,0,0
R203,0,0,0
R204,0,1,0
R205,0,0,0
R206,0,0,0
R207,0,0,0
R208,0,0,0
R209,1,0,0
R210,0,0,0
R211,0,0,0
R212,0,0,0
R213,0,0,0
R214,0,0,0
R215,0,0,1
R216,0,0,0
R217,0,0,0
R218,0,0,0
R219,1,0,0
R220,0,0,0
R221,0,0,0
R222,0,0,0
R223,0,0,0
R224,0,0,0
R225,0,0,1
R226,0,0,0
R227,0,0,0
R228,1,0,1
R229,0,0,0
R230,0,1,0
R231,0,0,0
R232,0,0,0
R233,0,0,1
R234,0,1,1
R235,0,0,1
R236,0,0,0
R237,0,0,1
R238,0,0,0
R239,0,0,0
R240,0,0,0
R241,0,0,1
R242,0,0,0
R243,0,1,0
R244,0,1,1
R245,0,0,0
R246,0,0,0
R247,0,0,0
R248,0,0,0
R249,0,0,0
R250,0,0,0
R251,0,0,0
R252,0,0,0
R253,0,0,0
R254,0,0,0
R255,0,0,0
R256,0,0,0
R257,0,0,0
R258,0,0,0
R259,0,0,0
R260,0,0,0
R261,0,0,0
R262,0,1,0
R263,0,0,0
R264,0,0,0
R265,0,0,0
R266,0,0,0
R267,0,0,0
R268,0,0,0
R269,0,0,1
R270,0,0,0
R271,0,0,0
R272,0,0,0
R273,0,0,1
R274,0,0,0
R275,0,0,0
R276,0,0,0
R277,0,0,0
R278,0,0,0
R279,0,0,0
R280,0,0,0
R281,0,0,0
R282,0,1,0
R283,0,0,0
R284,0,1,1
R285,0,0,1
R286,0,0,0
R287,0,0,0
R288,0,0,0
R289,0,0,0
R290,0,0,0
R291,0,0,0
R292,0,0,0
R293,0,0,1
R294,0,0,0
R295,0,0,0
R296,0,0,0
R297,0,0,0
R298,0,0,0
R299,0,0,1
R300,0,0,0
R301,0,1,1
R302,0,0,0
R303,0,0,0
R304,0,0,0
R305,0,0,0
R306,0,0,0
R307,0,0,0
R308,0,0,0
R309,0,0,0
R310,0,0,0
R311,1,1,0
R312,0,0,0
R313,0,0,0
R314,0,0,0
R315,0,0,0
R316,0,0,0
R317,0,0,0
R318,0,0,0
R319,0,0,0
R320,0,0,0
R321,0,0,0
R322,0,0,0
R323,0,1,0
R324,0,0,1
R325,0,0,0
R326,0,0,0
R327,0,0,0
R328,0,0,0
R329,0,0,0
R330,0,0,0
R331,0,0,0
R332,0,0,0
R333,0,0,0
R334,0,0,0
R335,0,0,0
R336,0,0,0
R337,0,0,0
R338,0,0,0
R339,0,0,0
R340,0,0,0
R341,0,0,0
R342,0,0,0
R343,0,0,0
R344,0,0,0
R345,0,0,0
R346,0,0,0
R347,0,0,0
R348,0,0,0
R349,0,0,0
R350,0,0,0
R351,0,0,0
R352,0,0,0
R353,0,0,0
R354,0,0,0
R355,0,0,0
R356,0,0,0
R357,0,0,0
R358,0,0,0
R359,0,0,0
R360,0,0,0
R361,0,0,0
R362,0,0,1
R363,1,1,1
R364,0,0,0
R365,0,0,0
R366,0,0,0
R367,0,0,0
R368,0,1,0
R369,0,0,0
R370,0,0,0
R371,0,0,0
R372,0,0,0
R373,0,0,0
R374,0,0,0
R375,0,0,0
R376,0,0,0
R377,0,0,0
R378,0,0,0
R379,0,0,0
R380,0,0,0
R381,0,0,0
R382,0,0,0
R383,0,0,0
R384,0,0,0
R385,1,0,1
R386,1,1,0
R387,1,1,0
R388,0,0,0
R389,0,0,1
R390,0,0,0
R391,0,0,1
R392,0,0,0
R393,0,0,0
R394,0,0,0
R395,0,0,0
R396,0,0,0
R397,0,0,0
R398,0,0,0
R399,0,0,0
R400,0,0,0
R401,1,0,0
R402,0,0,1
R403,0,0,0
R404,0,0,1
R405,0,0,0
R406,0,0,0
R407,0,0,0
R408,0,0,0
R409,0,0,0
R410,0,0,0
R411,0,0,0
R412,1,1,1
R413,0,0,0
R414,0,0,1
R415,0,1,0
R416,0,0,0
R417,0,0,0
R418,0,0,0
R419,0,0,0
R420,0,0,0
R421,0,0,0
R422,1,0,1
R423,0,0,0
R424,1,0,0
R425,0,0,0
R426,0,0,0
R427,0,0,0
R428,0,0,0
R429,0,0,0
R430,0,0,0
R431,0,0,0
R432,0,0,0
R433,1,0,1
R434,0,0,0
R435,0,0,0
R436,0,0,0
R437,0,0,0
R438,0,0,0
R439,0,0,0
R440,0,0,1
R441,0,0,0
R442,0,0,0
R443,0,0,0
R444,0,0,0
R445,0,0,0
R446,0,0,0
R447,0,0,1
R448,0,0,0
R449,0,0,0
R450,0,0,0
R451,0,0,0
R452,0,0,0
R453,0,0,0
R454,0,0,0
R455,0,0,1
R456,0,0,0
R457,1,0,1
R458,0,0,0
R459,0,0,0
R460,0,0,0
R461,0,0,1
R462,0,0,1
R463,0,0,0
R464,0,0,0
R465,0,0,0
R466,0,0,0
R467,0,0,0
R468,1,0,1
R469,0,0,1
R470,0,0,0
R471,0,0,0
R472,0,0,0
R473,0,0,0
R474,0,1,0
R475,0,0,0
R476,0,0,0
R477,0,0,0
R478,0,0,0
R479,0,1,0
R480,0,0,0
R481,0,0,0
R482,0,0,0
R483,0,1,1
R484,0,0,0
R485,0,0,0
R486,0,0,0
R487,0,0,0
R488,0,0,1
R489,0,0,0
R490,0,0,0
R491,0,0,0
R492,0,0,0
R493,0,0,0
R494,0,0,0
R495,1,1,0
R496,0,0,0
R497,0,0,0
R498,0,0,0
R499,0,0,0
R500,0,0,0
R501,0,0,0
R502,0,0,0
R503,0,1,0
R504,1,1,0
R505,0,0,0
R506,0,0,0
R507,1,1,0
R508,0,0,0
R509,0,0,0
R510,0,1,0
R511,0,0,0
R512,0,0,0
R513,0,0,0
R514,0,0,0
R515,0,0,0
R516,0,0,0
R517,0,0,1
R518,0,1,0
R519,0,1,0
R520,0,0,1
R521,0,0,0
R522,0,0,0
R523,0,0,0
R524,0,0,0
R525,0,0,0
R526,0,0,0
R527,0,0,0
R528,0,0,0
R529,0,0,0
R530,0,0,0
R531,1,1,0
R532,1,0,1
R533,0,1,1
R534,0,0,0
R535,0,0,0
R536,0,1,0
R537,0,1,0
R538,0,0,0
R539,0,0,0
R540,0,0,0
R541,0,0,1
R542,0,0,0
R543,0,0,0
R544,0,0,0
R545,0,0,0
R546,0,0,0
R547,0,0,0
R548,0,0,0
R549,0,0,0
R550,1,1,0
R551,0,0,0
R552,1,0,0
R553,0,0,0
R554,0,0,0
R555,0,0,0
R556,0,0,0
R557,0,0,0
R558,0,0,0
R559,1,1,1
R560,0,0,0
R561,0,0,0
R562,0,0,0
